PLOT,TOPO_ELV,TOPO_SLP,TOPO_CURV,TOPO_CI,AGE_CLASS,AGE_CATEGORY,ASPECT,ASPECT_DEC,LABEL,AGE_MEDIAN,POINT_X,POINT_Y,SOIL_PH,SOIL_OM,SOIL_N,SOIL_M,SOIL_C,SOIL_C_N_RATIO,SOIL_S,SOIL_SI,SOIL_CL
P01,215.5,33.8,-0.8,1.9,5,GT70,W,270,>70,70,833848.0474,828539.4447,4.4,3,0.15,24,5.7,19.9,86,6,8
P02,293,8.9,1.2,-1.7,2,LT26,S,180,(14-26],20,833694.6289,829381.6603,4.5,3.3,0.14,21.1,7.2,23,83,10,7
P03,241.7,14.4,1.6,7,3,LT52,NE,45,(26-52],39,831991.5396,827443.7425,4.6,3.2,0.14,26.6,7.2,23,79,12,9
P04,205.1,35.6,0.3,-0.2,4,LT70,W,270,(52-70],61,832847.0395,827126.3724,4.8,2.3,0.1,22.1,6.4,24,87,6,7
P05,266,31.9,1,2.5,4,LT70,E,90,(52-70],61,832891.2283,828248.7239,4.5,3.8,0.17,24.6,7.1,22.4,86,6,8
P06,822.6,21.6,0.5,-0.1,2,LT26,NE,45,(14-26],20,830982.5849,830621.8781,4.5,6.9,0.22,22.6,9.1,31,93,4,3
P07,682.5,21.4,-0.9,-1.5,1,LT14,SW,225,(0-14],7,830205.2701,830187.2638,4.6,3.2,0.1,27.8,4.9,33,89,4,7
P08,265.5,26.5,-1.2,0.4,3,LT52,SE,135,(26-52],39,832834.8152,828403.4337,4.4,2.3,0.15,21.3,5.5,15.7,84,8,8
P09,776.2,19.6,-2.4,1.7,4,LT70,NE,45,(52-70],61,831126.3825,830699.43,4.7,4.5,0.24,21.5,7.2,19,81,8,11
P10,746.5,34.2,-2.1,1.7,1,LT14,W,270,(0-14],7,830528.4259,829869.1748,4.6,3.1,0.09,24.8,6.2,34,85,8,7
P11,328.4,39.5,-0.7,-1.8,4,LT70,NE,45,(52-70],61,832735.0438,828231.3928,4.5,3.8,0.19,22,5.2,20.5,88,6,6
P12,271.2,28.4,-0.3,2.1,3,LT52,E,90,(26-52],39,833029.735,828619.5052,4.4,2.8,0.14,23,6.9,20.2,86,8,6
P13,313.2,33.1,-1.8,-3.9,5,GT70,SW,225,>70,70,834456.7077,828429.1693,4.5,4.2,0.18,23.3,8.3,23.6,90,6,4
P14,260.2,29.6,0.3,-1.2,2,LT26,W,270,(14-26],20,834068.716,827641.8634,4.6,1.5,0.07,21.9,4.3,20.9,78,8,14
P15,245.5,36.3,0.3,-1.2,3,LT52,W,270,(26-52],39,833604.4599,827218.3431,4.5,3.1,0.13,28.5,5.5,23.4,84,8,8
P16,433.9,32.8,0.4,-0.1,1,LT14,NW,315,(0-14],7,834674.0282,830468.6357,4.8,3.5,0.14,21.7,6.5,25,91,4,5
P17,337.3,39.4,-1,2.5,1,LT14,E,90,(0-14],7,834438.2099,829461.7908,4.3,3.2,0.14,25.9,8,23,81,10,9
P18,319.8,29.7,0.3,3.3,1,LT14,S,180,(0-14],7,834822.5207,828365.3604,4.4,6.7,0.32,21.3,10.3,21,91,4,5
P19,815.5,33.8,0.3,-4.9,3,LT52,E,90,(26-52],39,831136.1817,829929.0857,4.5,3.2,0.08,25.5,6.2,41,89,4,7
P20,336.7,18.9,1.2,0.5,3,LT52,SE,135,(26-52],39,832346.4116,827724.2199,4.4,2.9,0.16,27.2,8.4,19,79,10,11
P21,686.6,31,-2.4,-1.6,4,LT70,N,0,(52-70],61,831541.6732,830021.0327,4.5,4.3,0.12,24.5,10.2,35,89,4,7
P22,269.9,28.3,-0.9,-1.6,5,GT70,N,0,>70,70,834337.5218,828473.3765,4.6,4.4,0.21,24.6,7.2,21.4,88,6,6
P23,254.1,30.3,-0.3,-3.9,5,GT70,N,0,>70,70,834345.4269,828573.072,4.5,3.4,0.15,27.6,8,22.1,90,6,4
P24,309.3,34.9,0.1,-1.3,3,LT52,N,0,(26-52],39,834321.8416,828345.1953,4.6,3.9,0.16,24.3,6.9,23.7,94,2,4
P25,359.8,10.3,0.8,4.5,2,LT26,SE,135,(14-26],20,834019.644,829814.358,4.4,3.8,0.13,22.8,10.5,29,87,6,7
P26,446.1,28.5,-1.7,2.9,2,LT26,SE,135,(14-26],20,833349.9044,829769.9214,4.4,4.1,0.11,21.9,7.7,36,83,8,9
P27,415.7,34.4,-0.3,2.1,3,LT52,E,90,(26-52],39,832315.1272,829585.3423,4.6,4.3,0.16,22.9,7.8,27.7,82,8,10
P28,489,34,-2.6,1.7,2,LT26,SE,135,(14-26],20,829489.7556,829534.4486,4.5,4.6,0.16,24.1,7,28,93,2,5
