tree_species,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
Acronychia_pedunculata,1,0,0,22,0,0,0,9,0,0,1,1,3,80,7,0,0,17,0,3,0,0,0,2,20,2,10,0
Aporosa_octandra,7,42,17,27,28,0,0,45,0,0,50,24,7,0,10,0,7,89,0,26,0,0,2,5,30,19,4,0
Archidendron_lucidum,0,1,3,3,0,3,0,0,1,0,5,1,0,0,0,3,6,0,2,3,0,0,0,0,0,1,0,2
Ardisia_quinquegona,19,1,0,0,5,0,0,13,0,0,1,2,0,0,0,2,0,0,0,0,0,10,0,2,8,9,1,0
Camellia_caudata,0,0,0,0,0,24,0,0,24,0,0,0,0,0,4,0,0,0,14,0,3,0,0,0,0,0,3,0
Choerospondias_axillaris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,0
Cryptocarya_chinensis,34,0,0,0,0,0,0,0,0,0,0,0,60,2,1,0,0,0,0,0,0,144,140,85,0,0,4,0
Daphniphyllum_calycinum,0,4,1,2,4,0,2,3,0,0,15,0,0,0,0,1,2,6,0,4,1,0,0,2,17,13,0,5
Desmos_chinensis,1,4,15,34,2,0,0,5,0,0,2,3,2,3,8,0,0,0,0,3,0,1,0,1,5,1,0,0
Diospyros_morrisiana,0,2,2,3,15,0,0,5,3,0,9,4,1,0,4,0,32,9,2,1,1,0,0,1,36,14,8,3
Diplospora_dubia,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,2,1,11,89
Elaeocarpus_chinensis,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Elaeocarpus_dubius,2,2,0,0,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,6,2,10,0,0,0,0
Eurya_chinensis,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3
Eurya_macartneyi,0,0,0,0,0,0,0,1,0,0,0,0,0,10,18,0,0,0,21,0,24,0,0,0,0,0,71,1
Eurya_nitida,0,0,0,0,0,8,0,0,3,0,0,1,0,2,20,0,0,2,37,0,1,0,0,1,5,0,0,0
Ficus_fistulosa,0,0,1,0,1,0,0,2,0,3,1,0,3,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
Garcinia_multiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0
Garcinia_oblongifolia,12,0,1,4,4,0,0,18,0,0,3,1,2,19,25,0,1,3,3,6,0,9,0,1,5,1,8,0
